kospi_ticker,russell_ticker,ks_len,rs_len,corr_r,corr_px
015760 KS,AEE UN,61,61,0.0,0.336207718250777
015760 KS,AEP UW,61,61,0.0,0.0
015760 KS,AES UN,61,61,0.0,0.0
015760 KS,AGR UN,61,61,0.0,0.0
015760 KS,ATO UN,61,61,0.0,0.5424502040889347
015760 KS,AWK UN,61,61,0.0,0.5577201726814519
015760 KS,BEPC UN,61,61,0.0,0.6635054009365581
015760 KS,CEG UW,61,61,0.0,0.282588859594556
015760 KS,CMS UN,61,61,0.0,0.0
015760 KS,CNP UN,61,61,0.0,0.42388246412114994
015760 KS,D UN,61,61,0.0,0.0
015760 KS,DTE UN,61,61,0.0,0.4855933337326014
015760 KS,DUK UN,61,61,0.0,0.0
015760 KS,ED UN,61,61,0.0,0.46454951416169876
015760 KS,EIX UN,61,61,0.0,0.4615552264945357
015760 KS,ES UN,61,61,0.0,0.0
015760 KS,ETR UN,61,61,0.0,0.0
015760 KS,EVRG UW,61,61,0.0,0.3160618357094434
015760 KS,EXC UW,61,61,0.0,0.0
015760 KS,FE UN,61,61,0.0,0.0
015760 KS,HE UN,61,61,0.0,0.0
015760 KS,IDA UN,61,61,0.0,0.4222791725654212
015760 KS,LNT UW,61,61,0.0,0.41650028834447383
015760 KS,NEE UN,61,61,0.0,0.0
015760 KS,NFG UN,61,61,0.0,-0.45677427388824643
015760 KS,NI UN,61,61,0.0,0.2761103415207145
015760 KS,NRG UN,61,61,0.0,0.0
015760 KS,OGE UN,61,61,0.0,0.3448963433205791
015760 KS,PCG UN,61,61,0.0,0.7159468806261864
015760 KS,PEG UN,61,61,0.0,0.6150110222222495
015760 KS,PNW UN,61,61,0.0,0.4026260201190389
015760 KS,PPL UN,61,61,0.0,0.39719123373817233
015760 KS,SO UN,61,61,0.0,0.7511767504305552
015760 KS,SRE UN,61,61,0.0,0.39949997364553474
015760 KS,UGI UN,61,61,0.0,-0.5175026098451797
015760 KS,VST UN,61,61,0.0,-0.3263207388673493
015760 KS,WEC UN,61,61,0.0,0.0
015760 KS,WTRG UN,61,61,0.0,0.0
015760 KS,XEL UW,61,61,0.0,0.3366615813833102
015760 KS,ALE UN,61,61,0.0,0.0
015760 KS,AMPS UN,61,61,0.0,-0.7707566970616249
015760 KS,ARTNA UW,61,61,0.0,0.0
015760 KS,AVA UN,61,61,0.0,0.5396693433070404
015760 KS,AWR UN,61,61,0.0,0.45288839845297885
015760 KS,BIPC UN,61,61,0.0,0.0
015760 KS,BKH UN,61,61,0.0,0.490539362484516
015760 KS,CPK UN,61,61,0.0,0.0
015760 KS,CWEN UN,61,61,0.0,0.0
015760 KS,CWEN_A UN,61,61,0.0,0.0
015760 KS,CWT UN,61,61,0.0,0.0
015760 KS,GWRS UQ,61,61,0.0,-0.5922893994779919
015760 KS,MGEE UW,61,61,0.0,0.3031997015176743
015760 KS,MNTK UR,61,61,0.0,-0.7470548999021365
015760 KS,MSEX UW,61,61,0.0,0.0
015760 KS,NJR UN,61,61,0.0,0.0
015760 KS,NOVA UN,61,61,0.0,0.0
015760 KS,NWE UW,61,61,0.0,0.382380362747882
015760 KS,NWN UN,61,61,0.0,0.0
015760 KS,OGS UN,61,61,0.0,0.541803214356838
015760 KS,ORA UN,61,61,0.0,0.0
015760 KS,OTTR UW,61,61,0.0,0.7178642882754763
015760 KS,PCYO UR,61,61,0.0,0.5920699125519053
015760 KS,PNM UN,61,61,0.0,-0.30866231916243
015760 KS,POR UN,61,61,0.0,0.6188630935269424
015760 KS,SJW UN,61,61,0.0,0.0
015760 KS,SR UN,61,61,0.0,0.0
015760 KS,SWX UN,61,61,0.0,-0.6049416841420102
015760 KS,UTL UN,61,61,0.0,0.0
015760 KS,VIA UW,61,61,0.0,-0.7510019529624173
015760 KS,YORW UW,61,61,0.0,-0.3971800986567388
036460 KS,AEE UN,61,61,0.0,0.5212020521568027
036460 KS,AEP UW,61,61,0.0,0.44618354018280687
036460 KS,AES UN,61,61,0.341988556302024,0.5594589567446566
036460 KS,AGR UN,61,61,0.0,0.43669090992959037
036460 KS,ATO UN,61,61,0.2546302715164071,0.0
036460 KS,AWK UN,61,61,0.0,0.4239590137606061
036460 KS,BEPC UN,61,61,0.0,0.0
036460 KS,CEG UW,61,61,0.2960205227474986,-0.3509788292461003
036460 KS,CMS UN,61,61,0.0,0.4193639187077566
036460 KS,CNP UN,61,61,0.0,0.47976918520727446
036460 KS,D UN,61,61,0.0,0.5301943694082708
036460 KS,DTE UN,61,61,0.0,0.36281217052399684
036460 KS,DUK UN,61,61,0.0,0.45235398077274175
036460 KS,ED UN,61,61,0.0,0.31731264977074986
036460 KS,EIX UN,61,61,0.2539441765032379,0.4508839891727634
036460 KS,ES UN,61,61,0.0,0.4613703757716434
036460 KS,ETR UN,61,61,0.0,0.5209850638686974
036460 KS,EVRG UW,61,61,0.0,0.4011845091461078
036460 KS,EXC UW,61,61,0.30106099576072615,0.5384871950867014
036460 KS,FE UN,61,61,0.0,0.47051017601850686
036460 KS,HE UN,61,61,0.3895960969332423,0.6444934355128891
036460 KS,IDA UN,61,61,0.0,0.4700494411764341
036460 KS,LNT UW,61,61,0.0,0.40171416624326056
036460 KS,NEE UN,61,61,0.0,0.4702787393184609
036460 KS,NFG UN,61,61,0.3533222954281601,0.4846595485260674
036460 KS,NI UN,61,61,0.0,0.3947678560685962
036460 KS,NRG UN,61,61,0.290861782220003,0.3746410248214155
036460 KS,OGE UN,61,61,0.0,0.4554097571469932
036460 KS,PCG UN,61,61,0.3285937730301069,0.0
036460 KS,PEG UN,61,61,0.3019925648787425,0.44594724130534835
036460 KS,PNW UN,61,61,0.0,0.32141014344614804
036460 KS,PPL UN,61,61,0.26572060266128716,0.47569743710147333
036460 KS,SO UN,61,61,0.0,0.29720322208235184
036460 KS,SRE UN,61,61,0.3458239418180344,0.5296146585587197
036460 KS,UGI UN,61,61,0.3723844450680924,0.4267678451337005
036460 KS,VST UN,61,61,0.0,0.0
036460 KS,WEC UN,61,61,0.0,0.5027201861956581
036460 KS,WTRG UN,61,61,0.0,0.4415672471571312
036460 KS,XEL UW,61,61,0.0,0.46068161103678296
036460 KS,ALE UN,61,61,0.0,0.48211348079425725
036460 KS,AMPS UN,61,61,0.0,0.0
036460 KS,ARTNA UW,61,61,0.0,0.42061971059804987
036460 KS,AVA UN,61,61,0.0,0.3897780520604202
036460 KS,AWR UN,61,61,0.0,0.2615600058056175
036460 KS,BIPC UN,61,61,0.0,-0.28779729026739803
036460 KS,BKH UN,61,61,0.0,0.39626327361040165
036460 KS,CPK UN,61,61,0.37370771613659404,0.3928375139809074
036460 KS,CWEN UN,61,61,0.0,0.3272080154881793
036460 KS,CWEN_A UN,61,61,0.0,0.31725614573476946
036460 KS,CWT UN,61,61,0.0,0.468103447151075
036460 KS,GWRS UQ,61,61,0.3317892349940528,0.0
036460 KS,MGEE UW,61,61,0.0,0.3158430843125035
036460 KS,MNTK UR,61,61,0.3880026353911685,0.0
036460 KS,MSEX UW,61,61,0.2890999502356986,0.2679081063059816
036460 KS,NJR UN,61,61,0.0,0.5528223791812968
036460 KS,NOVA UN,61,61,0.0,0.0
036460 KS,NWE UW,61,61,0.0,0.3042541683225153
036460 KS,NWN UN,61,61,0.0,0.45165054399715604
036460 KS,OGS UN,61,61,0.0,0.0
036460 KS,ORA UN,61,61,0.0,0.0
036460 KS,OTTR UW,61,61,0.2954141314963657,0.0
036460 KS,PCYO UR,61,61,0.0,0.0
036460 KS,PNM UN,61,61,0.0,0.4889917294423669
036460 KS,POR UN,61,61,0.29294476601425357,0.26385614605583724
036460 KS,SJW UN,61,61,0.0,0.43371108720052953
036460 KS,SR UN,61,61,0.0,0.30801094780500266
036460 KS,SWX UN,61,61,0.0,0.0
036460 KS,UTL UN,61,61,0.0,0.420220068081098
036460 KS,VIA UW,61,61,0.0,0.0
036460 KS,YORW UW,61,61,0.0,0.0
